
=== Top 50 Cumulative Time Entries ===
         175810 function calls (170411 primitive calls) in 0.317 seconds

   Ordered by: cumulative time
   List reduced from 2757 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.317    0.317 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/typer/main.py:319(__call__)
        1    0.000    0.000    0.312    0.312 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/click/core.py:1159(__call__)
        1    0.000    0.000    0.312    0.312 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/typer/core.py:734(main)
        1    0.000    0.000    0.312    0.312 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/typer/core.py:166(_main)
        1    0.000    0.000    0.310    0.310 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/click/core.py:1663(invoke)
        1    0.000    0.000    0.310    0.310 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/click/core.py:1432(invoke)
        1    0.000    0.000    0.310    0.310 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/click/core.py:737(invoke)
        1    0.000    0.000    0.310    0.310 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/typer/main.py:689(wrapper)
        1    0.000    0.000    0.310    0.310 /Users/tombedor/development/elroy/elroy/cli/main.py:58(common)
        1    0.000    0.000    0.288    0.288 /Users/tombedor/development/elroy/elroy/cli/main.py:322(chat)
       13    0.000    0.000    0.104    0.008 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlmodel/orm/session.py:52(exec)
       13    0.000    0.000    0.103    0.008 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/orm/session.py:2305(execute)
       13    0.000    0.000    0.103    0.008 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/orm/session.py:2138(_execute_internal)
        1    0.000    0.000    0.101    0.101 /Users/tombedor/development/elroy/elroy/cli/updater.py:12(check_updates)
        1    0.000    0.000    0.101    0.101 /Users/tombedor/development/elroy/elroy/cli/updater.py:31(check_latest_version)
        1    0.000    0.000    0.100    0.100 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/requests/api.py:62(get)
